date,windchill,DTR
181215,4.5311584,11
181216,7.225792,4.7
181217,2.98372992,7.4
181218,6.39844976,10.2
181219,7.7161824,8.2
181220,10.03774704,11.5
181221,10.80321344,9.4
181222,9.9484444,9.5
181223,-2.79129536,10.9
181224,0.37150488,9
181225,5.79839248,9.2
181226,-7.1089988,10.1
181227,-24.1524444,6
181228,-15.77363,7.8
181229,-15.62943136,7.5
181230,-0.82875744,10.4
181231,0.42502768,10
190101,-6.138684,7.6
190102,-2.96129272,9
190103,0.6569004,11.6
190104,4.27593912,10.3
190105,-4.43510944,6.6
190106,2.75348576,9
190107,2.16288056,9.3
190108,-8.1612564,7.7
190109,0.28966776,10.7
190110,4.05510448,7.5
190111,8.6106016,7.6
190112,7.17766176,8.6
190113,5.08071712,10.6
190114,8.38365584,7.7
190115,-6.66745656,9.8
190116,-7.90624864,9
190117,1.68357016,7.2
190118,5.15718352,11.3
190119,8.48507488,8.5
190120,-9.73044432,9.5
190121,1.45711072,10.9
190122,3.70307576,10.4
190123,0.3505904,7.8
190124,2.08747128,11.1
190125,-5.36607008,6.4
190126,-5.521942,8.9
190127,1.88552072,11.7
190128,-5.58688352,6.9
190129,3.1035048,12.6
190130,5.0316568,9.4
190131,-8.4400752,8.5
190201,-0.13398488,10.2
190202,7.7607176,9.3
190203,5.31868024,2.9
190204,-1.29381584,6.3
190205,8.9505552,13.7
190206,9.28997992,9.2
190207,-12.7856924,14.5
190208,-8.93835352,8.9
190209,-11.24856272,6.7
190210,-3.062268,7.2
190211,-5.3833256,9.5
190212,0.04341424,7.8
190213,-5.05409336,8.2
190214,3.4806132,12.2
190215,-0.16767168,3.8
190216,-7.18901768,6.6
190217,-1.22310128,11.4
190218,5.43270328,10.6
190219,5.26896464,2.8
190220,1.23872888,4.6
190221,5.6101024,11.6
190222,7.152624,12.4
190223,11.85048032,14
190224,7.83690856,12.5
